orgname,selected_peers_concat
University of Connecticut-Tri-Campus,Pennsylvania State University-Penn State New Kensington|Pennsylvania State University-Penn State Shenango|Pennsylvania State University-Penn State Wilkes-Barre|Pennsylvania State University-Penn State Worthington Scranton|Pennsylvania State University-Penn State Lehigh Valley|Pennsylvania State University-Penn State Altoona|Pennsylvania State University-Penn State Beaver|Pennsylvania State University-Penn State Berks|Pennsylvania State University-Brandywine|Pennsylvania State University-Penn State Dubois|Pennsylvania State University-Penn State Fayette- Eberly Campus|Pennsylvania State University-Penn State Hazleton|Pennsylvania State University-Penn State Greater Allegheny|Pennsylvania State University-Penn State Mont Alto|Pennsylvania State University-Penn State Abington|Pennsylvania State University-Penn State Schuylkill|Pennsylvania State University-Penn State York|Nevada State College|California State University-Channel Islands|Utah State University-Regional Campuses and Distance Education
University of Dallas,Hendrix College|Millsaps College|Mississippi College|Belmont University|Christian Brothers University|Lipscomb University|Rhodes College|Sewanee-The University of the South|Austin College|Saint Edward's University|University of St Thomas|St Marys University|Southwestern University|Trinity University
University of Dayton,Loyola Marymount University|University of San Diego|Santa Clara University|University of Denver|American University|Catholic University of America|Bradley University|DePaul University|Loyola University-Chicago|Saint Louis University-Main Campus|Creighton University|Seton Hall University|Fordham University|Hofstra University|St John's University-New York|University of Cincinnati-Main Campus|Miami University-Oxford|Ohio University-Main Campus|Xavier University|Drexel University|Duquesne University|Lehigh University|Villanova University|Baylor University|Marquette University
University of Delaware,Georgia Institute of Technology-Main Campus|University of Notre Dame|University of Maryland-College Park|Boston College|University of North Carolina at Chapel Hill|Carnegie Mellon University|Lehigh University|Pennsylvania State University-Main Campus|University of Pittsburgh-Pittsburgh Campus|Brown University|College of William and Mary|University of Virginia-Main Campus
University of Denver,University of San Diego|Santa Clara University|University of Southern California|Colorado College|Regis University|George Washington University|University of Miami|Boston University|Syracuse University|Southern Methodist University|University of Puget Sound
University of Dubuque,Lyon College|University of the Ozarks|Illinois College|Hanover College|Buena Vista University|Alma College|The College of Wooster|Austin College|Hampden-Sydney College
University of Evansville,University of the Pacific|University of Redlands|University of Hartford|Quinnipiac University|Mercer University|Bradley University|North Central College|Butler University|Valparaiso University|Drake University|Simmons College|Hamline University|Drury University|Creighton University|Ithaca College|Elon University|Baldwin-Wallace College|University of Dayton|John Carroll University|Xavier University|Susquehanna University|Belmont University|Hampton University|Pacific Lutheran University
University of Florida,University of California-Berkeley|University of Illinois at Urbana-Champaign|Indiana University-Bloomington|University of Michigan-Ann Arbor|University of North Carolina at Chapel Hill|Ohio State University-Main Campus|Pennsylvania State University-Main Campus|Texas A & M University-College Station|The University of Texas at Austin|University of Virginia-Main Campus|University of Wisconsin-Madison
University of Georgia,University of Arizona|University of California-Davis|University of Florida|Iowa State University|University of Iowa|University of Kentucky|Louisiana State University and Agricultural & Mechanical College|University of Maryland-College Park|Michigan State University|University of Missouri-Columbia|North Carolina State University at Raleigh|Ohio State University-Main Campus
University of Hartford,Fairfield University|Quinnipiac University|American University|Catholic University of America|The University of Tampa|Bentley University|Clark University|Emerson College|Emmanuel College|Merrimack College|Northeastern University|Springfield College|Suffolk University|Wentworth Institute of Technology|Worcester Polytechnic Institute|Saint Johns University|Franklin Pierce University|Saint Anselm College|Fairleigh Dickinson University-Metropolitan Campus|New Jersey Institute of Technology|Rider University|Adelphi University|Clarkson University|Fordham University|Hofstra University|Iona College|Ithaca College|Long Island University-C W Post Campus|Manhattan College|Manhattanville College|Marist College|New York Institute of Technology|Pace University-New York|Pratt Institute-Main|Rensselaer Polytechnic Institute|Rochester Institute of Technology|Siena College|Syracuse University|Elon University|Drexel University|Lehigh University|Saint Joseph's University|University of Scranton|Villanova University|Bryant University|Johnson & Wales University-Providence|Providence College|Roger Williams University|Salve Regina University
University of Hawaii at Hilo,University of Arkansas at Pine Bluff|Arkansas Tech University|Delaware State University|Fort Valley State University|Savannah State University|University of Maryland Eastern Shore|Bemidji State University|Lincoln University|SUNY at Purchase College|University of North Carolina at Asheville|Cameron University|University of South Carolina-Aiken|Coastal Carolina University|University of Wisconsin-Parkside|University of Guam|California State University-Monterey Bay
University of Hawaii at Manoa,University of California-Davis|Colorado State University-Fort Collins|University of Georgia|Iowa State University|University of Kentucky|Louisiana State University and Agricultural & Mechanical College|University of Missouri-Columbia|University of North Carolina at Chapel Hill|Oregon State University|The University of Tennessee|University of Utah|University of Virginia-Main Campus
University of Hawaii Maui College,Gavilan College|Porterville College|South Florida Community College|Carl Sandburg College|Sauk Valley Community College|Dodge City Community College|Greenfield Community College|Mineral Area College|New Mexico Junior College|North Country Community College|Caldwell Community College and Technical Institute|Craven Community College|Western Piedmont Community College|Southwestern Oregon Community College|Cisco College|Temple College|Germanna Community College|West Virginia Northern Community College|Sheridan College
