orgname,selected_peers_concat
Arkansas State University-Main Campus,University of Arkansas at Little Rock|University of Arkansas|University of Arkansas at Pine Bluff|Arkansas State University-Beebe|Arkansas Tech University|University of Arkansas at Monticello|Black River Technical College|University of Central Arkansas|Cossatot Community College of the University of Arkansas|East Arkansas Community College|National Park Community College|University of Arkansas Community College-Batesville|Henderson State University|Mid-South Community College|Arkansas Northeastern College|North Arkansas College|Ouachita Technical College|Ozarka College|University of Arkansas Community College-Morrilton|Phillips Community College of the University of Arkansas|Southeast Arkansas College|Pulaski Technical College|University of Arkansas Community College-Hope|Rich Mountain Community College|South Arkansas Community College|Southern Arkansas University Main Campus|Southern Arkansas University Tech|University of Arkansas-Fort Smith|NorthWest Arkansas Community College|Arkansas State University-Mountain Home|Arkansas State University-Newport
Arkansas Tech University,Auburn University at Montgomery|University of Montevallo|University of North Alabama|University of Arkansas at Little Rock|Arkansas State University-Main Campus|University of Central Arkansas|Columbus State University|Georgia College & State University|Kennesaw State University|Valdosta State University|Morehead State University|Murray State University|Northern Kentucky University|McNeese State University|Northwestern State University of Louisiana|Southeastern Louisiana University|University of Baltimore|Frostburg State University|Salisbury University|Delta State University|University of North Carolina at Wilmington|Northeastern State University|College of Charleston|Citadel Military College of South Carolina|Austin Peay State University|The University of Tennessee at Chattanooga|Tennessee Technological University|Texas A & M University-Texarkana|Lamar University|Texas A & M International University|The University of Texas-Pan American|The University of Texas at Brownsville|The University of Texas of the Permian Basin|The University of Texas at San Antonio|Virginia State University
Ashland University,Aurora University|Bradley University|Benedictine University|Lewis University|North Park University|Olivet Nazarene University|Anderson University|Butler University|Indiana Wesleyan University|Valparaiso University|Drake University|University of Detroit Mercy|Hope College|Baldwin-Wallace College|Capital University|University of Dayton|The University of Findlay|John Carroll University|Malone University|Marietta College|University of Mount Union|Muskingum University|Notre Dame College|Ohio Dominican University|Ohio Northern University|Ohio Wesleyan University|Otterbein University|Tiffin University|Walsh University|Xavier University|Gannon University
Asnuntuck Community College,Northwestern Connecticut Community College|Quinebaug Valley Community College|Ivy Tech Community College-Kokomo|Maysville Community and Technical College|Central Maine Community College|Kennebec Valley Community College|Northern Maine Community College|Washington County Community College|Cecil College|Garrett College|White Mountains Community College|Salem Community College|Columbia-Greene Community College|Fulton-Montgomery Community College|North Country Community College|Sullivan County Community College|Blue Ridge Community College|Tri-County Community College|Northwest State Community College|Bucks County Community College|University of Pittsburgh-Titusville|Thaddeus Stevens College of Technology|Warren County Community College|Pennsylvania Highlands Community College|York County Community College
Assumption College,Fairfield University|Quinnipiac University|Loyola University-Baltimore|Mount St Mary's University|College of Notre Dame of Maryland|Bentley University|University of Massachusetts Amherst|Merrimack College|Stonehill College|Saint Anselm College|Rowan University|Rutgers University-Camden|The College of New Jersey|Ithaca College|Nazareth College|Rochester Institute of Technology|Saint Bonaventure University|Arcadia University|King's College|Saint Joseph's University|University of Scranton|Villanova University|Providence College|Saint Michael's College
Atlanta Christian College,Samford University|Clayton  State University|Covenant College|Emmanuel College|LaGrange College|Reinhardt University|Toccoa Falls College|Kentucky Christian University|Anderson University|Bryan College-Dayton|Lee University|Milligan College|Lee College|Liberty University
Atlantic Cape Community College,Frederick Community College|Howard Community College|Burlington County College|Gloucester County College|Corning Community College|Finger Lakes Community College|Genesee Community College|Herkimer County Community College|Niagara County Community College|Orange County Community College|Schenectady County Community College|Tompkins Cortland Community College|Butler County Community College|Reading Area Community College|Westmoreland County Community College
Auburn University,The University of Alabama|University of Arkansas|Florida State University|University of Florida|Georgia Institute of Technology-Main Campus|University of Georgia|University of Kentucky|Louisiana State University and Agricultural & Mechanical College|University of Maryland-College Park|University of Mississippi Main Campus|Mississippi State University|University of North Carolina at Chapel Hill|North Carolina State University at Raleigh|Oklahoma State University-Main Campus|University of Oklahoma Norman Campus|Clemson University|University of South Carolina-Columbia|The University of Tennessee|Texas A & M University-College Station|The University of Texas at Austin|Virginia Polytechnic Institute and State University|University of Virginia-Main Campus|West Virginia University
Auburn University at Montgomery,Jacksonville State University|University of North Alabama|Armstrong Atlantic State University|Columbus State University|Georgia College & State University|Morehead State University|McNeese State University|University of Louisiana-Monroe|Northwestern State University of Louisiana|Western Carolina University|Winthrop University|The University of Tennessee at Chattanooga|Radford University
Augusta State University,California State University-East Bay|University of the District of Columbia|Indiana University-Purdue University-Fort Wayne|Indiana University-South Bend|Indiana University-Northwest|Purdue University-Calumet Campus|University of Michigan-Flint|Metropolitan State University|Cameron University|Christopher Newport University
Augustana College,Illinois Wesleyan University|Knox College|DePauw University|Luther College|Wheaton College|Albion College|Hope College|Gustavus Adolphus College|St Olaf College|Denison University|Ohio Wesleyan University|Wittenberg University|The College of Wooster|Gettysburg College
